"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 23:08:14 CEST 2024","Mon Apr 29 23:08:22 CEST 2024","8290","chromium","usePageObjects.spec.ts","","","","navigate to form page",""
"passed","Mon Apr 29 23:08:14 CEST 2024","Mon Apr 29 23:08:22 CEST 2024","8467","chromium","usePageObjects.spec.ts","","","","parametrized methods",""
